x,perturbed_x,y,wikidata_property,perturbed_question,perturbed_yes_no_question,original_question,original_yes_no_question
Lothar Vosseler,Bob Dylan,Gerhard Schrder,relative,What is the familial connection between Bob Dylan and Gerhard Schrder?,Do Bob Dylan and Gerhard Schrder have a familial connection?,What is the familial connection between Lothar Vosseler and Gerhard Schrder?,Do Lothar Vosseler and Gerhard Schrder have a familial connection?
Heinrich Weizscker,Karl Rohn,Richard von Weizscker,relative,What is the familial connection between Karl Rohn and Richard von Weizscker?,Do Karl Rohn and Richard von Weizscker have a familial connection?,What is the familial connection between Heinrich Weizscker and Richard von Weizscker?,Do Heinrich Weizscker and Richard von Weizscker have a familial connection?
Hedwig Heuss,Anne V. Coates,Theodor Heuss,relative,What is the familial connection between Anne V. Coates and Theodor Heuss?,Do Anne V. Coates and Theodor Heuss have a familial connection?,What is the familial connection between Hedwig Heuss and Theodor Heuss?,Do Hedwig Heuss and Theodor Heuss have a familial connection?
Roberto Leonardo Yez Ibez,Pio Borri,Erich Honecker,relative,What is the familial connection between Pio Borri and Erich Honecker?,Do Pio Borri and Erich Honecker have a familial connection?,What is the familial connection between Roberto Leonardo Yez Ibez and Erich Honecker?,Do Roberto Leonardo Yez Ibez and Erich Honecker have a familial connection?
George V,Edward VII,Wilhelm II,relative,What is the familial connection between Edward VII and Wilhelm II?,Do Edward VII and Wilhelm II have a familial connection?,What is the familial connection between George V and Wilhelm II?,Do George V and Wilhelm II have a familial connection?
Patrick M. Knapp Schwarzenegger,Ferdinand von Schirach,Arnold Schwarzenegger,relative,What is the familial connection between Ferdinand von Schirach and Arnold Schwarzenegger?,Do Ferdinand von Schirach and Arnold Schwarzenegger have a familial connection?,What is the familial connection between Patrick M. Knapp Schwarzenegger and Arnold Schwarzenegger?,Do Patrick M. Knapp Schwarzenegger and Arnold Schwarzenegger have a familial connection?
Teolindo Soto Barro,George Washington,Louis de Funs,relative,What is the familial connection between George Washington and Louis de Funs?,Do George Washington and Louis de Funs have a familial connection?,What is the familial connection between Teolindo Soto Barro and Louis de Funs?,Do Teolindo Soto Barro and Louis de Funs have a familial connection?
Presley Neville,William Henry Harrison,Daniel Morgan,relative,What is the familial connection between William Henry Harrison and Daniel Morgan?,Do William Henry Harrison and Daniel Morgan have a familial connection?,What is the familial connection between Presley Neville and Daniel Morgan?,Do Presley Neville and Daniel Morgan have a familial connection?
Allan Houser,Donatello,Geronimo,relative,What is the familial connection between Donatello and Geronimo?,Do Donatello and Geronimo have a familial connection?,What is the familial connection between Allan Houser and Geronimo?,Do Allan Houser and Geronimo have a familial connection?
Taj Jackson,Cher,Michael Jackson,relative,What is the familial connection between Cher and Michael Jackson?,Do Cher and Michael Jackson have a familial connection?,What is the familial connection between Taj Jackson and Michael Jackson?,Do Taj Jackson and Michael Jackson have a familial connection?
Jacques Maurras,Jean Moulin,Charles Maurras,relative,What is the familial connection between Jean Moulin and Charles Maurras?,Do Jean Moulin and Charles Maurras have a familial connection?,What is the familial connection between Jacques Maurras and Charles Maurras?,Do Jacques Maurras and Charles Maurras have a familial connection?
Eugne Lanti,Boris Kolker,George Orwell,relative,What is the familial connection between Boris Kolker and George Orwell?,Do Boris Kolker and George Orwell have a familial connection?,What is the familial connection between Eugne Lanti and George Orwell?,Do Eugne Lanti and George Orwell have a familial connection?
Antipater,Paul Morand,Antiochus III the Great,relative,What is the familial connection between Paul Morand and Antiochus III the Great?,Do Paul Morand and Antiochus III the Great have a familial connection?,What is the familial connection between Antipater and Antiochus III the Great?,Do Antipater and Antiochus III the Great have a familial connection?
Laodice II,Arsinoe II,Seleucus II Callinicus,relative,What is the familial connection between Arsinoe II and Seleucus II Callinicus?,Do Arsinoe II and Seleucus II Callinicus have a familial connection?,What is the familial connection between Laodice II and Seleucus II Callinicus?,Do Laodice II and Seleucus II Callinicus have a familial connection?
John B. Kelly Sr.,Dan Bricklin,"Albert II, Prince of Monaco",relative,"What is the familial connection between Dan Bricklin and Albert II, Prince of Monaco?","Do Dan Bricklin and Albert II, Prince of Monaco have a familial connection?","What is the familial connection between John B. Kelly Sr. and Albert II, Prince of Monaco?","Do John B. Kelly Sr. and Albert II, Prince of Monaco have a familial connection?"
Margrethe II of Denmark,Elizabeth II,Albert II of Belgium,relative,What is the familial connection between Elizabeth II and Albert II of Belgium?,Do Elizabeth II and Albert II of Belgium have a familial connection?,What is the familial connection between Margrethe II of Denmark and Albert II of Belgium?,Do Margrethe II of Denmark and Albert II of Belgium have a familial connection?
Susan Strong,Margaret Webster,Tara Strong,relative,What is the familial connection between Margaret Webster and Tara Strong?,Do Margaret Webster and Tara Strong have a familial connection?,What is the familial connection between Susan Strong and Tara Strong?,Do Susan Strong and Tara Strong have a familial connection?
Pilar Pellicer,Ral Valerio,Carlos Pellicer,relative,What is the familial connection between Ral Valerio and Carlos Pellicer?,Do Ral Valerio and Carlos Pellicer have a familial connection?,What is the familial connection between Pilar Pellicer and Carlos Pellicer?,Do Pilar Pellicer and Carlos Pellicer have a familial connection?
Martha Dickinson Bianchi,Yanka Kupala,Emily Dickinson,relative,What is the familial connection between Yanka Kupala and Emily Dickinson?,Do Yanka Kupala and Emily Dickinson have a familial connection?,What is the familial connection between Martha Dickinson Bianchi and Emily Dickinson?,Do Martha Dickinson Bianchi and Emily Dickinson have a familial connection?
Giuseppe Salvago Raggi,Arturo Bocchini,Benedict XV,relative,What is the familial connection between Arturo Bocchini and Benedict XV?,Do Arturo Bocchini and Benedict XV have a familial connection?,What is the familial connection between Giuseppe Salvago Raggi and Benedict XV?,Do Giuseppe Salvago Raggi and Benedict XV have a familial connection?
"Sir William Burnaby, 1st Baronet",Shigezabur Miyazaki,Daniel Craig,relative,What is the familial connection between Shigezabur Miyazaki and Daniel Craig?,Do Shigezabur Miyazaki and Daniel Craig have a familial connection?,"What is the familial connection between Sir William Burnaby, 1st Baronet and Daniel Craig?","Do Sir William Burnaby, 1st Baronet and Daniel Craig have a familial connection?"
Eva Schloss,Mahatma Gandhi,Anne Frank,relative,What is the familial connection between Mahatma Gandhi and Anne Frank?,Do Mahatma Gandhi and Anne Frank have a familial connection?,What is the familial connection between Eva Schloss and Anne Frank?,Do Eva Schloss and Anne Frank have a familial connection?
Lysiane Bernhardt,Bob Dylan,Sarah Bernhardt,relative,What is the familial connection between Bob Dylan and Sarah Bernhardt?,Do Bob Dylan and Sarah Bernhardt have a familial connection?,What is the familial connection between Lysiane Bernhardt and Sarah Bernhardt?,Do Lysiane Bernhardt and Sarah Bernhardt have a familial connection?
Georg Hugo Will,Jimmy Wales,Marlene Dietrich,relative,What is the familial connection between Jimmy Wales and Marlene Dietrich?,Do Jimmy Wales and Marlene Dietrich have a familial connection?,What is the familial connection between Georg Hugo Will and Marlene Dietrich?,Do Georg Hugo Will and Marlene Dietrich have a familial connection?
Julia Kerr,Wolfgang Amadeus Mozart,Matthew Kneale,relative,What is the familial connection between Wolfgang Amadeus Mozart and Matthew Kneale?,Do Wolfgang Amadeus Mozart and Matthew Kneale have a familial connection?,What is the familial connection between Julia Kerr and Matthew Kneale?,Do Julia Kerr and Matthew Kneale have a familial connection?
Pierre Jeanneret,El Greco,Le Corbusier,relative,What is the familial connection between El Greco and Le Corbusier?,Do El Greco and Le Corbusier have a familial connection?,What is the familial connection between Pierre Jeanneret and Le Corbusier?,Do Pierre Jeanneret and Le Corbusier have a familial connection?
William Hamilton,Arthur Evans,Lady Ann Cunningham,relative,What is the familial connection between Arthur Evans and Lady Ann Cunningham?,Do Arthur Evans and Lady Ann Cunningham have a familial connection?,What is the familial connection between William Hamilton and Lady Ann Cunningham?,Do William Hamilton and Lady Ann Cunningham have a familial connection?
Sal Iacono,Barack Obama,Jimmy Kimmel,relative,What is the familial connection between Barack Obama and Jimmy Kimmel?,Do Barack Obama and Jimmy Kimmel have a familial connection?,What is the familial connection between Sal Iacono and Jimmy Kimmel?,Do Sal Iacono and Jimmy Kimmel have a familial connection?
Daniel Greenleaf,Bill Gates,Herman Melville,relative,What is the familial connection between Bill Gates and Herman Melville?,Do Bill Gates and Herman Melville have a familial connection?,What is the familial connection between Daniel Greenleaf and Herman Melville?,Do Daniel Greenleaf and Herman Melville have a familial connection?
Mario,Elvis Presley,Elder Paisios of Mount Athos,relative,What is the familial connection between Elvis Presley and Elder Paisios of Mount Athos?,Do Elvis Presley and Elder Paisios of Mount Athos have a familial connection?,What is the familial connection between Mario and Elder Paisios of Mount Athos?,Do Mario and Elder Paisios of Mount Athos have a familial connection?
Mimi Gardner Gates,Gaylord Simpson,Bill Gates,relative,What is the familial connection between Gaylord Simpson and Bill Gates?,Do Gaylord Simpson and Bill Gates have a familial connection?,What is the familial connection between Mimi Gardner Gates and Bill Gates?,Do Mimi Gardner Gates and Bill Gates have a familial connection?
Mariano de Goya,Ral Gonzlez,Francisco Goya,relative,What is the familial connection between Ral Gonzlez and Francisco Goya?,Do Ral Gonzlez and Francisco Goya have a familial connection?,What is the familial connection between Mariano de Goya and Francisco Goya?,Do Mariano de Goya and Francisco Goya have a familial connection?
Sandro Calvesi,Nikolay Ozolin,Eddy Ottoz,relative,What is the familial connection between Nikolay Ozolin and Eddy Ottoz?,Do Nikolay Ozolin and Eddy Ottoz have a familial connection?,What is the familial connection between Sandro Calvesi and Eddy Ottoz?,Do Sandro Calvesi and Eddy Ottoz have a familial connection?
Lieuwe van Gogh,Willem Drost,Vincent van Gogh,relative,What is the familial connection between Willem Drost and Vincent van Gogh?,Do Willem Drost and Vincent van Gogh have a familial connection?,What is the familial connection between Lieuwe van Gogh and Vincent van Gogh?,Do Lieuwe van Gogh and Vincent van Gogh have a familial connection?
Michelangelo Buonarroti,Dante Alighieri,Michelangelo,relative,What is the familial connection between Dante Alighieri and Michelangelo?,Do Dante Alighieri and Michelangelo have a familial connection?,What is the familial connection between Michelangelo Buonarroti and Michelangelo?,Do Michelangelo Buonarroti and Michelangelo have a familial connection?
Pietro de Saliba,Pieter Brueghel the Elder,Antonello da Messina,relative,What is the familial connection between Pieter Brueghel the Elder and Antonello da Messina?,Do Pieter Brueghel the Elder and Antonello da Messina have a familial connection?,What is the familial connection between Pietro de Saliba and Antonello da Messina?,Do Pietro de Saliba and Antonello da Messina have a familial connection?
Elizabeth Wright Ingraham,El Greco,Frank Lloyd Wright,relative,What is the familial connection between El Greco and Frank Lloyd Wright?,Do El Greco and Frank Lloyd Wright have a familial connection?,What is the familial connection between Elizabeth Wright Ingraham and Frank Lloyd Wright?,Do Elizabeth Wright Ingraham and Frank Lloyd Wright have a familial connection?
Ronnie Polkingharn,Brian Keith McDonald,Eminem,relative,What is the familial connection between Brian Keith McDonald and Eminem?,Do Brian Keith McDonald and Eminem have a familial connection?,What is the familial connection between Ronnie Polkingharn and Eminem?,Do Ronnie Polkingharn and Eminem have a familial connection?
Jacopo Bellini,Jean Auguste Dominique Ingres,Andrea Mantegna,relative,What is the familial connection between Jean Auguste Dominique Ingres and Andrea Mantegna?,Do Jean Auguste Dominique Ingres and Andrea Mantegna have a familial connection?,What is the familial connection between Jacopo Bellini and Andrea Mantegna?,Do Jacopo Bellini and Andrea Mantegna have a familial connection?
Harry Lloyd,Eddie Redmayne,Charles Dickens,relative,What is the familial connection between Eddie Redmayne and Charles Dickens?,Do Eddie Redmayne and Charles Dickens have a familial connection?,What is the familial connection between Harry Lloyd and Charles Dickens?,Do Harry Lloyd and Charles Dickens have a familial connection?
Euridyce Dosne,Charles Baudelaire,Adolphe Thiers,relative,What is the familial connection between Charles Baudelaire and Adolphe Thiers?,Do Charles Baudelaire and Adolphe Thiers have a familial connection?,What is the familial connection between Euridyce Dosne and Adolphe Thiers?,Do Euridyce Dosne and Adolphe Thiers have a familial connection?
Alberto Benegas Lynch,Michael Schmidt-Salomon,Che Guevara,relative,What is the familial connection between Michael Schmidt-Salomon and Che Guevara?,Do Michael Schmidt-Salomon and Che Guevara have a familial connection?,What is the familial connection between Alberto Benegas Lynch and Che Guevara?,Do Alberto Benegas Lynch and Che Guevara have a familial connection?
Mao Ning,Deng Xiaoping,Mao Zedong,relative,What is the familial connection between Deng Xiaoping and Mao Zedong?,Do Deng Xiaoping and Mao Zedong have a familial connection?,What is the familial connection between Mao Ning and Mao Zedong?,Do Mao Ning and Mao Zedong have a familial connection?
Ernst Horst,Alfred Hillebrandt,Johann Wolfgang von Goethe,relative,What is the familial connection between Alfred Hillebrandt and Johann Wolfgang von Goethe?,Do Alfred Hillebrandt and Johann Wolfgang von Goethe have a familial connection?,What is the familial connection between Ernst Horst and Johann Wolfgang von Goethe?,Do Ernst Horst and Johann Wolfgang von Goethe have a familial connection?
Derartu Tulu,Tiki Gelana,Tirunesh Dibaba,relative,What is the familial connection between Tiki Gelana and Tirunesh Dibaba?,Do Tiki Gelana and Tirunesh Dibaba have a familial connection?,What is the familial connection between Derartu Tulu and Tirunesh Dibaba?,Do Derartu Tulu and Tirunesh Dibaba have a familial connection?
Mercedes Varnado,Rufus R. Jones,Snoop Dogg,relative,What is the familial connection between Rufus R. Jones and Snoop Dogg?,Do Rufus R. Jones and Snoop Dogg have a familial connection?,What is the familial connection between Mercedes Varnado and Snoop Dogg?,Do Mercedes Varnado and Snoop Dogg have a familial connection?
Matteo Polo,Bartholomus Viatis the Elder,Marco Polo,relative,What is the familial connection between Bartholomus Viatis the Elder and Marco Polo?,Do Bartholomus Viatis the Elder and Marco Polo have a familial connection?,What is the familial connection between Matteo Polo and Marco Polo?,Do Matteo Polo and Marco Polo have a familial connection?
Geronimo Pratt,Jack Bauer,Tupac Shakur,relative,What is the familial connection between Jack Bauer and Tupac Shakur?,Do Jack Bauer and Tupac Shakur have a familial connection?,What is the familial connection between Geronimo Pratt and Tupac Shakur?,Do Geronimo Pratt and Tupac Shakur have a familial connection?
Gezahegne Abera,Tsegaye Kebede,Tiki Gelana,relative,What is the familial connection between Tsegaye Kebede and Tiki Gelana?,Do Tsegaye Kebede and Tiki Gelana have a familial connection?,What is the familial connection between Gezahegne Abera and Tiki Gelana?,Do Gezahegne Abera and Tiki Gelana have a familial connection?
Jack Peate,Renaud,Mervyn Peake,relative,What is the familial connection between Renaud and Mervyn Peake?,Do Renaud and Mervyn Peake have a familial connection?,What is the familial connection between Jack Peate and Mervyn Peake?,Do Jack Peate and Mervyn Peake have a familial connection?
Henryk Hescheles,Karl Kraus,Stanisaw Lem,relative,What is the familial connection between Karl Kraus and Stanisaw Lem?,Do Karl Kraus and Stanisaw Lem have a familial connection?,What is the familial connection between Henryk Hescheles and Stanisaw Lem?,Do Henryk Hescheles and Stanisaw Lem have a familial connection?
Andreas Meyer-Landrut,Edmund Stoiber,Lena Meyer-Landrut,relative,What is the familial connection between Edmund Stoiber and Lena Meyer-Landrut?,Do Edmund Stoiber and Lena Meyer-Landrut have a familial connection?,What is the familial connection between Andreas Meyer-Landrut and Lena Meyer-Landrut?,Do Andreas Meyer-Landrut and Lena Meyer-Landrut have a familial connection?
Lazzaro Vasari,Claude Monet,Luca Signorelli,relative,What is the familial connection between Claude Monet and Luca Signorelli?,Do Claude Monet and Luca Signorelli have a familial connection?,What is the familial connection between Lazzaro Vasari and Luca Signorelli?,Do Lazzaro Vasari and Luca Signorelli have a familial connection?
Jakob Bohr,Mikkel Thorup,Niels Bohr,relative,What is the familial connection between Mikkel Thorup and Niels Bohr?,Do Mikkel Thorup and Niels Bohr have a familial connection?,What is the familial connection between Jakob Bohr and Niels Bohr?,Do Jakob Bohr and Niels Bohr have a familial connection?
Herman D. Noether,Louis Pasteur,Emmy Noether,relative,What is the familial connection between Louis Pasteur and Emmy Noether?,Do Louis Pasteur and Emmy Noether have a familial connection?,What is the familial connection between Herman D. Noether and Emmy Noether?,Do Herman D. Noether and Emmy Noether have a familial connection?
Helena Duska,Jefferson Prez,Marie Curie,relative,What is the familial connection between Jefferson Prez and Marie Curie?,Do Jefferson Prez and Marie Curie have a familial connection?,What is the familial connection between Helena Duska and Marie Curie?,Do Helena Duska and Marie Curie have a familial connection?
Ming Tsai,Karlos Arguiano,Qin Shi Huangdi,relative,What is the familial connection between Karlos Arguiano and Qin Shi Huangdi?,Do Karlos Arguiano and Qin Shi Huangdi have a familial connection?,What is the familial connection between Ming Tsai and Qin Shi Huangdi?,Do Ming Tsai and Qin Shi Huangdi have a familial connection?
Valentine Thomson,Molire,Marcel Proust,relative,What is the familial connection between Molire and Marcel Proust?,Do Molire and Marcel Proust have a familial connection?,What is the familial connection between Valentine Thomson and Marcel Proust?,Do Valentine Thomson and Marcel Proust have a familial connection?
Catherine Parr,George Washington,Elizabeth I of England,relative,What is the familial connection between George Washington and Elizabeth I of England?,Do George Washington and Elizabeth I of England have a familial connection?,What is the familial connection between Catherine Parr and Elizabeth I of England?,Do Catherine Parr and Elizabeth I of England have a familial connection?
Franois d'Arc,Wolfram von Eschenbach,Joan of Arc,relative,What is the familial connection between Wolfram von Eschenbach and Joan of Arc?,Do Wolfram von Eschenbach and Joan of Arc have a familial connection?,What is the familial connection between Franois d'Arc and Joan of Arc?,Do Franois d'Arc and Joan of Arc have a familial connection?
Krishna Riboud,Denis Diderot,Rabindranath Tagore,relative,What is the familial connection between Denis Diderot and Rabindranath Tagore?,Do Denis Diderot and Rabindranath Tagore have a familial connection?,What is the familial connection between Krishna Riboud and Rabindranath Tagore?,Do Krishna Riboud and Rabindranath Tagore have a familial connection?
Q61745081,Yelena Migunova,Leo Tolstoy,relative,What is the familial connection between Yelena Migunova and Leo Tolstoy?,Do Yelena Migunova and Leo Tolstoy have a familial connection?,What is the familial connection between Q61745081 and Leo Tolstoy?,Do Q61745081 and Leo Tolstoy have a familial connection?
Dermot Turing,Felix Dahn,Alan Turing,relative,What is the familial connection between Felix Dahn and Alan Turing?,Do Felix Dahn and Alan Turing have a familial connection?,What is the familial connection between Dermot Turing and Alan Turing?,Do Dermot Turing and Alan Turing have a familial connection?
Empress Ma,Wu Zetian,Emperor Zhang of Han,relative,What is the familial connection between Wu Zetian and Emperor Zhang of Han?,Do Wu Zetian and Emperor Zhang of Han have a familial connection?,What is the familial connection between Empress Ma and Emperor Zhang of Han?,Do Empress Ma and Emperor Zhang of Han have a familial connection?
Empress Dou,George Washington,Emperor He of Han,relative,What is the familial connection between George Washington and Emperor He of Han?,Do George Washington and Emperor He of Han have a familial connection?,What is the familial connection between Empress Dou and Emperor He of Han?,Do Empress Dou and Emperor He of Han have a familial connection?
Josefna Kounicov,Henry Fonda,Antonn Dvok,relative,What is the familial connection between Henry Fonda and Antonn Dvok?,Do Henry Fonda and Antonn Dvok have a familial connection?,What is the familial connection between Josefna Kounicov and Antonn Dvok?,Do Josefna Kounicov and Antonn Dvok have a familial connection?
Simonetta Puccini,J. R. R. Tolkien,Giacomo Puccini,relative,What is the familial connection between J. R. R. Tolkien and Giacomo Puccini?,Do J. R. R. Tolkien and Giacomo Puccini have a familial connection?,What is the familial connection between Simonetta Puccini and Giacomo Puccini?,Do Simonetta Puccini and Giacomo Puccini have a familial connection?
Yekaterina Nosenko,Su Shi,Igor Stravinsky,relative,What is the familial connection between Su Shi and Igor Stravinsky?,Do Su Shi and Igor Stravinsky have a familial connection?,What is the familial connection between Yekaterina Nosenko and Igor Stravinsky?,Do Yekaterina Nosenko and Igor Stravinsky have a familial connection?
Eva Schloss,Mahatma Gandhi,Otto Frank,relative,What is the familial connection between Mahatma Gandhi and Otto Frank?,Do Mahatma Gandhi and Otto Frank have a familial connection?,What is the familial connection between Eva Schloss and Otto Frank?,Do Eva Schloss and Otto Frank have a familial connection?
Eva Schloss,Mahatma Gandhi,Margot Frank,relative,What is the familial connection between Mahatma Gandhi and Margot Frank?,Do Mahatma Gandhi and Margot Frank have a familial connection?,What is the familial connection between Eva Schloss and Margot Frank?,Do Eva Schloss and Margot Frank have a familial connection?
Simon Telkes,Ken Jennings,Mria Telkes,relative,What is the familial connection between Ken Jennings and Mria Telkes?,Do Ken Jennings and Mria Telkes have a familial connection?,What is the familial connection between Simon Telkes and Mria Telkes?,Do Simon Telkes and Mria Telkes have a familial connection?
Yang Shao,Jack Bauer,Emperor Wen of Sui,relative,What is the familial connection between Jack Bauer and Emperor Wen of Sui?,Do Jack Bauer and Emperor Wen of Sui have a familial connection?,What is the familial connection between Yang Shao and Emperor Wen of Sui?,Do Yang Shao and Emperor Wen of Sui have a familial connection?
William Miller,Gustav Landauer,Dorothy Hodgkin,relative,What is the familial connection between Gustav Landauer and Dorothy Hodgkin?,Do Gustav Landauer and Dorothy Hodgkin have a familial connection?,What is the familial connection between William Miller and Dorothy Hodgkin?,Do William Miller and Dorothy Hodgkin have a familial connection?
Alexey Zubov,Jack Bauer,Leonhard Euler,relative,What is the familial connection between Jack Bauer and Leonhard Euler?,Do Jack Bauer and Leonhard Euler have a familial connection?,What is the familial connection between Alexey Zubov and Leonhard Euler?,Do Alexey Zubov and Leonhard Euler have a familial connection?
Napoleon,Joseph Radetzky von Radetz,Napoleon III,relative,What is the familial connection between Joseph Radetzky von Radetz and Napoleon III?,Do Joseph Radetzky von Radetz and Napoleon III have a familial connection?,What is the familial connection between Napoleon and Napoleon III?,Do Napoleon and Napoleon III have a familial connection?
Sven Strindberg,Michael Jackson,August Strindberg,relative,What is the familial connection between Michael Jackson and August Strindberg?,Do Michael Jackson and August Strindberg have a familial connection?,What is the familial connection between Sven Strindberg and August Strindberg?,Do Sven Strindberg and August Strindberg have a familial connection?
Antonio Marziale Carracci,Vittore Carpaccio,Annibale Carracci,relative,What is the familial connection between Vittore Carpaccio and Annibale Carracci?,Do Vittore Carpaccio and Annibale Carracci have a familial connection?,What is the familial connection between Antonio Marziale Carracci and Annibale Carracci?,Do Antonio Marziale Carracci and Annibale Carracci have a familial connection?
Oleg of Novgorod,Blanche of Castile,Rurik,relative,What is the familial connection between Blanche of Castile and Rurik?,Do Blanche of Castile and Rurik have a familial connection?,What is the familial connection between Oleg of Novgorod and Rurik?,Do Oleg of Novgorod and Rurik have a familial connection?
Ivan Mstislavsky,Napoleon,Ivan IV Vasilyevich,relative,What is the familial connection between Napoleon and Ivan IV Vasilyevich?,Do Napoleon and Ivan IV Vasilyevich have a familial connection?,What is the familial connection between Ivan Mstislavsky and Ivan IV Vasilyevich?,Do Ivan Mstislavsky and Ivan IV Vasilyevich have a familial connection?
Warren Delano Robbins,Ban Ki-moon,Franklin Delano Roosevelt,relative,What is the familial connection between Ban Ki-moon and Franklin Delano Roosevelt?,Do Ban Ki-moon and Franklin Delano Roosevelt have a familial connection?,What is the familial connection between Warren Delano Robbins and Franklin Delano Roosevelt?,Do Warren Delano Robbins and Franklin Delano Roosevelt have a familial connection?
Ndileka Mandela,Tupac Shakur,Nelson Mandela,relative,What is the familial connection between Tupac Shakur and Nelson Mandela?,Do Tupac Shakur and Nelson Mandela have a familial connection?,What is the familial connection between Ndileka Mandela and Nelson Mandela?,Do Ndileka Mandela and Nelson Mandela have a familial connection?
Edythe Scott Bagley,Leonard Nimoy,Martin Luther King Jr.,relative,What is the familial connection between Leonard Nimoy and Martin Luther King Jr.?,Do Leonard Nimoy and Martin Luther King Jr. have a familial connection?,What is the familial connection between Edythe Scott Bagley and Martin Luther King Jr.?,Do Edythe Scott Bagley and Martin Luther King Jr. have a familial connection?
Emmanuel II de Crussol,Philippe Ptain,Louis Antoine de Pardaillan de Gondrin,relative,What is the familial connection between Philippe Ptain and Louis Antoine de Pardaillan de Gondrin?,Do Philippe Ptain and Louis Antoine de Pardaillan de Gondrin have a familial connection?,What is the familial connection between Emmanuel II de Crussol and Louis Antoine de Pardaillan de Gondrin?,Do Emmanuel II de Crussol and Louis Antoine de Pardaillan de Gondrin have a familial connection?
Julian,Friedrich Theodor Vischer,Constantine the Great,relative,What is the familial connection between Friedrich Theodor Vischer and Constantine the Great?,Do Friedrich Theodor Vischer and Constantine the Great have a familial connection?,What is the familial connection between Julian and Constantine the Great?,Do Julian and Constantine the Great have a familial connection?
Asdrbal Chvez,George W. Bush,Hugo Chvez,relative,What is the familial connection between George W. Bush and Hugo Chvez?,Do George W. Bush and Hugo Chvez have a familial connection?,What is the familial connection between Asdrbal Chvez and Hugo Chvez?,Do Asdrbal Chvez and Hugo Chvez have a familial connection?
Shirkuh,Eric Shinseki,Saladin,relative,What is the familial connection between Eric Shinseki and Saladin?,Do Eric Shinseki and Saladin have a familial connection?,What is the familial connection between Shirkuh and Saladin?,Do Shirkuh and Saladin have a familial connection?
Rafael Maria Palacio Vargas,Michael Bloomberg,Simn Bolvar,relative,What is the familial connection between Michael Bloomberg and Simn Bolvar?,Do Michael Bloomberg and Simn Bolvar have a familial connection?,What is the familial connection between Rafael Maria Palacio Vargas and Simn Bolvar?,Do Rafael Maria Palacio Vargas and Simn Bolvar have a familial connection?
Jan Awgust Kerk,Jesus,Arnot Muka,relative,What is the familial connection between Jesus and Arnot Muka?,Do Jesus and Arnot Muka have a familial connection?,What is the familial connection between Jan Awgust Kerk and Arnot Muka?,Do Jan Awgust Kerk and Arnot Muka have a familial connection?
Mira Maodus,Claude Monet,Nikola Tesla,relative,What is the familial connection between Claude Monet and Nikola Tesla?,Do Claude Monet and Nikola Tesla have a familial connection?,What is the familial connection between Mira Maodus and Nikola Tesla?,Do Mira Maodus and Nikola Tesla have a familial connection?
Robert Watson-Watt,John Bardeen,James Watt,relative,What is the familial connection between John Bardeen and James Watt?,Do John Bardeen and James Watt have a familial connection?,What is the familial connection between Robert Watson-Watt and James Watt?,Do Robert Watson-Watt and James Watt have a familial connection?
Marvin J. Chomsky,George Cukor,Noam Chomsky,relative,What is the familial connection between George Cukor and Noam Chomsky?,Do George Cukor and Noam Chomsky have a familial connection?,What is the familial connection between Marvin J. Chomsky and Noam Chomsky?,Do Marvin J. Chomsky and Noam Chomsky have a familial connection?
Karl-Jean Longuet,Charles Despiau,Karl Marx,relative,What is the familial connection between Charles Despiau and Karl Marx?,Do Charles Despiau and Karl Marx have a familial connection?,What is the familial connection between Karl-Jean Longuet and Karl Marx?,Do Karl-Jean Longuet and Karl Marx have a familial connection?
Jemima Blackburn,Salvador Dal,James Clerk Maxwell,relative,What is the familial connection between Salvador Dal and James Clerk Maxwell?,Do Salvador Dal and James Clerk Maxwell have a familial connection?,What is the familial connection between Jemima Blackburn and James Clerk Maxwell?,Do Jemima Blackburn and James Clerk Maxwell have a familial connection?
Eunice Jepkoech Sum,David Rudisha,Alfred Kirwa Yego,relative,What is the familial connection between David Rudisha and Alfred Kirwa Yego?,Do David Rudisha and Alfred Kirwa Yego have a familial connection?,What is the familial connection between Eunice Jepkoech Sum and Alfred Kirwa Yego?,Do Eunice Jepkoech Sum and Alfred Kirwa Yego have a familial connection?
Ralph H. Fowler,Abdus Salam,Ernest Rutherford,relative,What is the familial connection between Abdus Salam and Ernest Rutherford?,Do Abdus Salam and Ernest Rutherford have a familial connection?,What is the familial connection between Ralph H. Fowler and Ernest Rutherford?,Do Ralph H. Fowler and Ernest Rutherford have a familial connection?
Gilles Descartes,George Washington,Ren Descartes,relative,What is the familial connection between George Washington and Ren Descartes?,Do George Washington and Ren Descartes have a familial connection?,What is the familial connection between Gilles Descartes and Ren Descartes?,Do Gilles Descartes and Ren Descartes have a familial connection?
Minna Bernays,"Ulrich Frdric Woldemar, Comte de Lowendal",Sigmund Freud,relative,"What is the familial connection between Ulrich Frdric Woldemar, Comte de Lowendal and Sigmund Freud?","Do Ulrich Frdric Woldemar, Comte de Lowendal and Sigmund Freud have a familial connection?",What is the familial connection between Minna Bernays and Sigmund Freud?,Do Minna Bernays and Sigmund Freud have a familial connection?
